,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length,release_date_x,country_x,release_date_y,country_y,storyline
0,[7],464,Vanya on 42nd Street (1994),"https://m.media-amazon.com/images/M/MV5BZDQ1ODk1NDEtOWRkYi00ZTcyLThjNTItZTZlN2VkYTRiNGFkXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UX190_CR0,3,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZDQ1ODk1NDEtOWRkYi00ZTcyLThjNTItZTZlN2VkYTRiNGFkXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UX285_CR0,5,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZDQ1ODk1NDEtOWRkYi00ZTcyLThjNTItZTZlN2VkYTRiNGFkXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_QL75_UX380_CR0,7,380,562_.jpg 380w",http://www.imdb.com/title/tt0111590/?ref_=fn_al_tt_1,"New York actors rehearse Chekhov's ""Uncle Vanya"" in a dilapidated theatre.",7.4,4.6K,['Louis Malle'],"['Anton Chekhov', 'David Mamet', 'Andre Gregory']","['Wallace Shawn', 'Phoebe Brand', 'George Gaynes', 'Jerry Mayer', 'Lynn Cohen', 'Julianne Moore', 'Larry Pine', 'Brooke Smith', 'Andre Gregory', 'Madhur Jaffrey', 'Ayad Akhtar', 'Oren Moverman']",PG,1994.0,1h 59min,06-01-1995,United Kingdom,06-01-1995,United Kingdom,"An uniterrupted rehersal of Chekhov's ""Uncle Vanya"" played out by a company of actors. The setting is their run down theater with an unusable stage and crumbling ceiling. The play is shown act by act with the briefest of breaks to move props or for refreshments. The lack of costumes, real props and scenery is soon forgotten. —Rob Hartill"
1,[ 4  7 14],778,Don Juan DeMarco (1995),"https://m.media-amazon.com/images/M/MV5BNzRiMGM2ODgtN2Y1Zi00ODk5LThhOTItOWVkODM0YjAyZTI2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNzRiMGM2ODgtN2Y1Zi00ODk5LThhOTItOWVkODM0YjAyZTI2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_QL75_UX285_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNzRiMGM2ODgtN2Y1Zi00ODk5LThhOTItOWVkODM0YjAyZTI2XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_QL75_UX380_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0112883/?ref_=fn_al_tt_1,"A psychiatrist must cure a young patient that presents himself as Don Juan, the greatest lover in the world.",6.7,50K,['Jeremy Leven'],"['Lord Byron', 'Jeremy Leven']","['Johnny Depp', 'Marlon Brando', 'Faye Dunaway', 'Géraldine Pailhas', 'Bob Dishy', 'Rachel Ticotin', 'Talisa Soto', 'Marita Geraghty', 'Richard C. Sarafian', 'Tresa Hughes', 'Stephen Singer', 'Franc Luz', 'Carmen Argenziano', 'Jo Champa', 'Esther Scott', 'Nada Despotovich', 'Gilbert Lewis', 'Tom Lister Jr.']",PG-13,1994.0,1h 37min,19-05-1995,United Kingdom,19-05-1995,United Kingdom,"Well-respected psychiatrist Dr. Jack Mickler is only 10 days away from retirement. A week before he's supposed to leave, he encounters a young man who attempts suicide--a pretty straightforward case, except that the young man claims to be Don Juan, the fabled Spanish nobleman and world-renowned seducer/lover of women. Despite original hostility from his co-workers, Jack manages to persuade his associates to put the youth in his care for 10 days after which the youth will undergo an evaluation to be either released from psychiatric care or sent to a mental institution. However, as the days progress, Dr. Mickler and the other staff are gradually drawn into the young man's exotic world of love, passion, and pleasure as he tells them the story. While he speaks, the young man's philosophies and zeal for life and love start to revive Dr. Mickler's somewhat-passionless relationship with his wife Marilyn, as well as challenging his own views and ethics to the point where both he and the audience begin to question: could this young man actually be Don Juan?"
2,[4],41,Billy Madison (1995),"https://m.media-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,2,380,562_.jpg 380w",http://www.imdb.com/title/tt0112508/?ref_=fn_al_tt_1,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",6.4,137K,['Tamra Davis'],"['Tim Herlihy', 'Adam Sandler']","['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson-Sampras', 'Bradley Whitford', 'Josh Mostel', 'Norm MacDonald', 'Mark Beltzman', 'Larry Hankin', 'Theresa Merritt', 'Dina Platias', 'Hrant Alianak', 'Vincent Marino', 'Jack Mather', 'Christopher Kelk', 'Marc Donato', 'Keith Cole', 'Chris Mei', 'Conor Devitt']",PG-13,1995.0,1h 29min,05-04-1996,United Kingdom,05-04-1996,United Kingdom,"Billy Madison is a 27 year-old man whose father Brian is the head of a major hotel chain. Even though he is groomed to replace his father who is about to retire, Billy is extremely immature and unmotivated in life. When Brian considers making Eric Gordon (whom Billy despises) his new replacement, Billy decides to prove to his father that he is capable of taking over. He must repeat grade school all over again (2 weeks for each grade) in order to take over the hotel empire. The further Billy progresses, the more Eric tries to derail Billy. —Sam"
3,[4 7],1333,Midnight Dancers (Sibak) (1994),"https://m.media-amazon.com/images/M/MV5BMTQxMzMxNzcwN15BMl5BanBnXkFtZTcwNjE3NDYxMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTQxMzMxNzcwN15BMl5BanBnXkFtZTcwNjE3NDYxMQ@@._V1_QL75_UY422_CR6,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTQxMzMxNzcwN15BMl5BanBnXkFtZTcwNjE3NDYxMQ@@._V1_QL75_UY562_CR8,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0111180/?ref_=fn_al_tt_1,"Three young and good-looking brothers live with and support their parents in Manila; they dance at the male Club Exotica and work as ""call boys."" Joel has a wife and child; he and Dennis are saving money to buy back lost family land. Sonny has dropped out of university and sees dancing as a way to make money for now. Joel has a regular boyfriend as well; Sonny spends time with Michelle, a transvestite; Dennis and his pals steal car radios. When their nanay takes in a homeless youth who is not what he appears to be, a chain of events is set in motion that brings tragedy. Is there any salvation in this late-night world of ""macho dancing"" and prostitution?",5.6,282,['Mel Chionglo'],['Ricardo Lee'],"['Alex Del Rosario', 'Gandong Cervantes', 'Lawrence David', 'Luis Cortes', 'Richard Cassity', 'Danny Ramos', 'John Mendoza', 'Leonard Manalansan', 'Perla Bautista', 'Ryan Aristorenas', 'Soxy Topacio', 'Gino Paul Guzman', 'Maureen Mauricio', 'Jeffrey Suarez', 'Ray Ventura', 'Nonie Buencamino', 'RS Francisco', 'Cherry Pie Picache']",Not Rated,1994.0,1h 40min,05-07-1995,Philippines,05-07-1995,Philippines,"Three young and good-looking brothers live with and support their parents in Manila; they dance at the male Club Exotica and work as ""call boys."" Joel has a wife and child; he and Dennis are saving money to buy back lost family land. Sonny has dropped out of university and sees dancing as a way to make money for now. Joel has a regular boyfriend as well; Sonny spends time with Michelle, a transvestite; Dennis and his pals steal car radios. When their nanay takes in a homeless youth who is not what he appears to be, a chain of events is set in motion that brings tragedy. Is there any salvation in this late-night world of ""macho dancing"" and prostitution? —"
4,[4],1322,Metisse (Café au Lait) (1993),"https://m.media-amazon.com/images/M/MV5BMTkzMDk4MDMzMl5BMl5BanBnXkFtZTcwMTU4ODgyMQ@@._V1_QL75_UY281_CR7,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTkzMDk4MDMzMl5BMl5BanBnXkFtZTcwMTU4ODgyMQ@@._V1_QL75_UY422_CR10,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTkzMDk4MDMzMl5BMl5BanBnXkFtZTcwMTU4ODgyMQ@@._V1_QL75_UY562_CR14,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0107642/?ref_=fn_al_tt_1,"Lola is pregnant. But she does not know who the father is : Jamal, the black muslim, son of diplomats, or Felix, the pennyless jewish messenger. Jamal and Felix meet at Lola's, and the race begins.",6.1,1.1K,['Mathieu Kassovitz'],['Mathieu Kassovitz'],"['Julie Mauduech', 'Hubert Koundé', 'Mathieu Kassovitz', 'Vincent Cassel', 'Tadek Lokcinski', 'Jany Holt', 'Rywka Wajsbrot', 'Héloïse Rauth', 'Marc Berman', 'Andrée Damant', 'Berthe Bagoe', 'Jean-Pierre Cassel', 'Félicité Wouassi', 'Brigitte Bémol', 'Lydia Ewandé', 'Béatrice Zeitoun', 'Camille Japy', 'Jean-Claude Flamand-Barny']",,1993.0,1h 34min,18-08-1993,France,18-08-1993,France,"Lola is pregnant. But she does not know who the father is: Jamal, the Black Muslim, son of diplomats, or Felix, the penniless Jewish messenger. Jamal and Felix meet at Lola's, and the race begins."
5,[10 16],860,"Believers, The (1987)","https://m.media-amazon.com/images/M/MV5BOWUyYjcxMmMtNTFjYy00MGMxLWI1N2ItNGZjNGEyYjNiYjI1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_QL75_UY281_CR8,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BOWUyYjcxMmMtNTFjYy00MGMxLWI1N2ItNGZjNGEyYjNiYjI1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_QL75_UY422_CR12,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BOWUyYjcxMmMtNTFjYy00MGMxLWI1N2ItNGZjNGEyYjNiYjI1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_QL75_UY562_CR16,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0241357/?ref_=fn_al_tt_1,The story of the Pre-Fab Four and their fight to be taken seriously as musicians.,6.0,770,['Neill Fearnley'],"['Ron McGee', 'Harold Bronson']","['George Stanchev', 'L.B. Fisher', 'Jeff Geddis', 'Aaron Lohr', 'Colin Ferguson', 'Wallace Langham', 'Stephen Bogaert', 'Polly Shannon', 'Jim Thorburn', 'Sarah Lafleur', 'Toby Proctor', 'Balázs Koós', 'Jeffrey R. Smith', 'Joe Matheson', 'Charlotte Leonard', 'Karley Marek', 'Edward Glen', 'Jeff Ironi']",,,,28-06-2000,United States,28-06-2000,United States,"In 1966, producers Bert Schneider and Bob Rafaelson come up with the idea of creating a TV show that would feature the American answer to the Beatles, The Monkees. Eventually, four young men are chosen for the roles, Mickey Dolenz the former child TV star, the stage actor Davey Jones and the musicians, Mike Nesmith and Peter Tork. With the aid of a successful music producer and able TV promotion, the Monkees become a sensation. However, that success is tainted, to the chagrin of the band, as they find themselves labeled as talentless phonies. This film covers the band's frustrating struggle to prove their detractors wrong as they struggle to earn some artist legitimacy. Whether it's by learning to excel as a band or experimenting with wild ideas for their show and film, Head, nothing seems to work. Meanwhile the band have their internal tensions as various members struggle to decide what is really important to them, simple material success, or having real artistic respect for their work?"
6,[0 7],1231,Marked for Death (1990),"https://m.media-amazon.com/images/M/MV5BYTEzOTNhODMtOTA5NC00YWM2LWJmYTEtOTAyNDVjZWQ3OTUzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYTEzOTNhODMtOTA5NC00YWM2LWJmYTEtOTAyNDVjZWQ3OTUzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX285_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYTEzOTNhODMtOTA5NC00YWM2LWJmYTEtOTAyNDVjZWQ3OTUzXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UX380_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0100114/?ref_=fn_al_tt_1,A retired DEA agent is out to hunt down and take out a Jamaican drug posse that has targeted he and his family for murder.,6.0,21K,['Dwight H. Little'],"['Michael Grais', 'Mark Victor']","['Steven Seagal', 'Joanna Pacula', 'Basil Wallace', 'Keith David', 'Tom Wright', 'Elizabeth Gracen', 'Bette Ford', 'Danielle Harris', 'Al Israel', 'Arlen Dean Snyder', 'Victor Romero Evans', 'Michael Ralph', 'Jeffrey Anderson-Gunter', 'Tony DiBenedetto', 'Kevin Dunn', 'Peter Jason', 'Danny Trejo', 'Richard Delmonte']",R,1990.0,1h 33min,07-06-1991,United Kingdom,07-06-1991,United Kingdom,"Chicago DEA agent John Hatcher has just returned from Colombia, where his partner was killed in the line of duty by a drug dealer who has since been taken down. As a result of his partner's death, John has decided to retire, but his retirement may not be permanent. On the next day, after reuniting with his sister Melissa and Melissa's daughter Tracy, John gets into a shootout against a Jamaican drug kingpin known as Screwface, taking down some of Screwface's men. John brings himself out of retirement when Screwface retaliates by attempting to kill Melissa and Tracy. After the shooting, John is reunited with two old friends - a local high school football coach named Max, and a Jamaican Chicago cop named Charles. John and Max set out to hunt Screwface down, only to discover that Screwface has gone back to Jamaica. John and Max take Charles with them to Jamaica for an all out war against Screwface and his drug empire. —Todd Baldridge "
7,[ 7 14],20,Angels and Insects (1995),"https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_QL75_UY281_CR2,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_QL75_UY422_CR2,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_QL75_UY562_CR3,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0112365/?ref_=fn_al_tt_1,In the 1800s a naturalist marries into a family of British country gentry.,6.8,4.6K,['Philip Haas'],"['A.S. Byatt', 'Belinda Haas', 'Philip Haas']","['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit', 'Jeremy Kemp', 'Douglas Henshall', 'Annette Badland', 'Chris Larkin', 'Anna Massey', 'Saskia Wickham', 'Lindsay Thomas', 'Michelle Sylvester', 'Clare Lovell', 'Jenny Lovell', 'Oona Haas', 'Angus Hodder', 'Margaret Golder', 'Paul Ready', 'Naomi Gudge']",R,1995.0,1h 56min,08-12-1995,United Kingdom,08-12-1995,United Kingdom,"The movie is a study of a family of country gentry in Victorian England. William Adamson (Mark Rylance), a young scientist, is introduced into the Alabaster family by Sir Harald Alabaster (Jeremy Kemp) who is also fascinated by insects. William marries the elder daughter of the family and studies the amounts of insects in the garden of the villa. His - for the gentry - strange behaviors reveal at the same time their own failures and passions. —Volker Boehm"
8,[19],661,High Noon (1952),"https://m.media-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,2,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX285_CR0,3,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX380_CR0,4,380,562_.jpg 380w",http://www.imdb.com/title/tt0044706/?ref_=fn_al_tt_1,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",8.0,101K,['Fred Zinnemann'],"['Carl Foreman', 'John W. Cunningham']","['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges', 'Katy Jurado', 'Otto Kruger', 'Lon Chaney Jr.', 'Harry Morgan', 'Ian MacDonald', 'Eve McVeagh', 'Morgan Farley', 'Harry Shannon', 'Lee Van Cleef', 'Robert J. Wilke', 'Sheb Wooley', 'Lee Aaker', 'Ernest Baldwin', 'Benjie Bancroft']",PG,1952.0,1h 25min,09-06-1952,United Kingdom,09-06-1952,United Kingdom,"On the day he gets married and hangs up his badge, Marshal Will Kane is told that a man he sent to prison years before, Frank Miller, is returning on the noon train to exact his revenge. Having initially decided to leave with his new spouse, Will decides he must go back and face Miller. However, when he seeks the help of the townspeople he has protected for so long, they turn their backs on him. It seems Kane may have to face Miller alone, as well as the rest of Miller's gang, who are waiting for him at the station. —Man_With_No_Name_126"
9,[4 7],1186,"Inkwell, The (1994)","https://m.media-amazon.com/images/M/MV5BMzNmNTc0YmQtMzAxOC00YzQ1LTg3ZTYtNTFlYzRlYjViMTRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UY281_CR1,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMzNmNTc0YmQtMzAxOC00YzQ1LTg3ZTYtNTFlYzRlYjViMTRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UY422_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMzNmNTc0YmQtMzAxOC00YzQ1LTg3ZTYtNTFlYzRlYjViMTRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UY562_CR1,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0110137/?ref_=fn_al_tt_1,"A shy, troubled young man who set his own house on fire and has an imaginary friend, is sent to a vineyard where he finds himself in the middle of his political-arguing, party-loving family and his love torn between two girls.",6.4,1.4K,['Matty Rich'],"['Trey Ellis', 'Paris Qualles']","['Larenz Tate', 'Joe Morton', 'Suzzanne Douglas', 'Glynn Turman', 'Vanessa Bell Calloway', 'A.J. Johnson', 'Morris Chestnut', 'Jada Pinkett Smith', 'Duane Martin', 'Mary Alice', 'Phyllis Yvonne Stickney', 'Markus Redmond', 'Perry Moore', 'Akia Victor', 'Aaron Griffin', 'Reggie McFadden', 'Greg Leevy', 'Stacie Davis']",R,1994.0,1h 50min,22-04-1994,United States,22-04-1994,United States,"In 1976, Drew Tate is a young teenager who has trouble dealing with life after he accidentally sets his house on fire. His parents, Kenny and Brenda, decide to go to Martha's Vineyard to spend Fourth of July weekend with Brenda's sister Francis, Francis' Black Republican husband Spencer, and their son Junior. While there Drew falls for self-centered girl Lauren and befriends married lady Heather. While on their vacation, Drew deals with his parents' attempts to save their marriage as well as with his own troubles. Eventually, all of this leads to a life-changing event for Drew as well as his parents. —Brian Washington "
