,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length,release_date,country,storyline
0,[6],1594,Everest (1998),"https://m.media-amazon.com/images/M/MV5BMTUwNzA0ODg1OV5BMl5BanBnXkFtZTcwMzA3MDUxMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTUwNzA0ODg1OV5BMl5BanBnXkFtZTcwMzA3MDUxMQ@@._V1_QL75_UY422_CR5,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTUwNzA0ODg1OV5BMl5BanBnXkFtZTcwMzA3MDUxMQ@@._V1_QL75_UY562_CR7,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0120661/?ref_=fn_al_tt_1,"An international team of climbers ascends Mt. Everest in the spring of 1996. The film depicts their lengthy preparations for the climb, their trek to the summit, and their successful return to Base Camp. It also shows many of the challenges the group faced, including avalanches, lack of oxygen, treacherous ice walls, and a deadly blizzard.",7.1,3.3K,"['David Breashears', 'Stephen Judson', 'Greg MacGillivray']","['Tim Cahill', 'Stephen Judson']","['Liam Neeson', 'Lhakpa Dorji', 'Dorje Sherpa', 'Ed Viesturs', 'Muktu Lhakpa Sherpa', 'Thilen Sherpa', 'Jangbu Sherpa', 'Araceli Segarra', 'Wong Chu Sherpa', 'Robert Schauer', 'Jamling Tenzing Norgay', 'David Breashears', 'Chyangba Tamang', 'Tracy Pfau', 'Roger Bilham', 'Rob Hall', 'Colonel Madan K.C.', 'Sumiyo Tsuzuki']",Unrated,1998.0,44min,06-03-1998,United States,"An international team of climbers ascends Mt. Everest in the spring of 1996. The film depicts their lengthy preparations for the climb, their trek to the summit, and their successful return to Base Camp. It also shows many of the challenges the group faced, including avalanches, lack of oxygen, treacherous ice walls, and a deadly blizzard. —Eric Sorensen"
1,[ 4  7 14],1424,I Like It Like That (1994),"https://m.media-amazon.com/images/M/MV5BZjRkNjJkNmItZTkwZC00NDI1LTg1NWItY2E5NTg4MmFkZjAxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZjRkNjJkNmItZTkwZC00NDI1LTg1NWItY2E5NTg4MmFkZjAxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZjRkNjJkNmItZTkwZC00NDI1LTg1NWItY2E5NTg4MmFkZjAxXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_QL75_UX380_CR0,3,380,562_.jpg 380w",http://www.imdb.com/title/tt0110091/?ref_=fn_al_tt_1,"Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes to jail and Lisette gets a good job uptown. Can this marriage be saved?",6.8,1.6K,['Darnell Martin'],['Darnell Martin'],"['Luna Lauren Velez', 'Jon Seda', 'Tomas Melly', 'Desiree Casado', 'Isaiah Garcia', 'Jesse Borrego', 'Lisa Vidal', 'Griffin Dunne', 'Rita Moreno', 'Vincent Laresca', 'Elvis Nolasco', 'Sammy Melendez', 'Jose Soto', 'Gloria Irizarry', 'Emilio Del Pozo', 'Donald Jackson', 'Gary Perez', 'Scott Jarred Cohen']",R,1994.0,1h 44min,03-02-1995,United Kingdom,"Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes to jail and Lisette gets a good job uptown. Can this marriage be saved? —Reid Gagle"
2,[ 4  8 14 15],411,"Nutty Professor, The (1996)","https://m.media-amazon.com/images/M/MV5BYWU2Mjk4YmYtYTg5My00MGRkLWFkNDAtMDM1ODQ4MDk5YWI2XkEyXkFqcGdeQXVyMTI4ODc2NDY@._V1_QL75_UY281_CR111,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYWU2Mjk4YmYtYTg5My00MGRkLWFkNDAtMDM1ODQ4MDk5YWI2XkEyXkFqcGdeQXVyMTI4ODc2NDY@._V1_QL75_UY422_CR167,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYWU2Mjk4YmYtYTg5My00MGRkLWFkNDAtMDM1ODQ4MDk5YWI2XkEyXkFqcGdeQXVyMTI4ODc2NDY@._V1_QL75_UY562_CR222,0,380,562_.jpg 380w",http://www.imdb.com/title/tt6154574/?ref_=fn_al_tt_1,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",,,['Don DuPree'],"['Roger Ebert', 'Gene Siskel']","['Roger Ebert', 'Gene Siskel']",,,,29-06-1996,United States,
3,[4],1071,Party Girl (1995),"https://m.media-amazon.com/images/M/MV5BNDkxZTY2YzctMDkxNy00NzA0LWE3MDYtNmRlMGQyZGNjZWIxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY281_CR2,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNDkxZTY2YzctMDkxNy00NzA0LWE3MDYtNmRlMGQyZGNjZWIxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY422_CR3,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNDkxZTY2YzctMDkxNy00NzA0LWE3MDYtNmRlMGQyZGNjZWIxXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_QL75_UY562_CR4,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0114095/?ref_=fn_al_tt_1,"A 20-something, irresponsible party girl is bailed out of jail by her librarian godmother. To repay the loan, she starts working at the library and gradually turns her life around.",6.5,4.9K,['Daisy von Scherler Mayer'],"['Harry Birckmayer', 'Daisy von Scherler Mayer', 'Sheila Gaffney']","['Parker Posey', 'Omar Townsend', 'The Lady Bunny', 'Lum Chang Pang', 'Anthony DeSando', 'Liev Schreiber', 'Guillermo Díaz', 'Elizabeth Beer', 'Sasha von Scherler', 'Richard Topol', 'C. Francis Blackchild', 'John Ventimiglia', 'Donna Mitchell', 'Dwight Ewell', 'Wendell Daughtery', 'Teresa Lebron', 'Timothy Duperron', 'Robert Sorce']",R,1995.0,1h 34min,09-06-1995,United States,"Mary is a free-spirited young woman with a run-down New York apartment and a high fashion wardrobe. She calls her godmother, a librarian, for bail money after being arrested for throwing an illegal party. To repay the loan, she begins working as a library clerk. At first she hates it, but when challenged decides to master the Dewey Decimal System and become a great library clerk, while romancing a falafel vendor and helping her roommate in his goal to become a professional DJ. —James Meek "
4,[ 7 14],724,Circle of Friends (1995),"https://m.media-amazon.com/images/M/MV5BZWEzZGJhNmYtOTkyYi00OTJhLWE3NTItOGFiNDEwYTc4Y2U3XkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZWEzZGJhNmYtOTkyYi00OTJhLWE3NTItOGFiNDEwYTc4Y2U3XkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZWEzZGJhNmYtOTkyYi00OTJhLWE3NTItOGFiNDEwYTc4Y2U3XkEyXkFqcGdeQXVyNzQ5MzY0NjM@._V1_QL75_UX380_CR0,2,380,562_.jpg 380w",http://www.imdb.com/title/tt0112679/?ref_=fn_al_tt_1,"3 women, who've been friends since childhood, meet at university in Dublin in 1957. Student and boyfriend life begins.",6.6,8.4K,"[""Pat O'Connor""]","['Andrew Davies', 'Maeve Binchy']","[""Chris O'Donnell"", 'Minnie Driver', ""Geraldine O'Rawe"", 'Saffron Burrows', 'Alan Cumming', 'Colin Firth', 'Aidan Gillen', 'Mick Lally', 'Britta Smith', 'John Kavanagh', 'Ruth McCabe', 'Ciarán Hinds', 'Tony Doyle', 'Marie Mullen', 'Marie Conmee', 'Gerry Walsh', 'Sean McGinley', 'Tom Hickey']",PG-13,1995.0,1h 43min,12-05-1995,United Kingdom,"'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at University College, Dublin. Here Benny and Eve reunite with their childhood friend, the ice-cool Nan Mahon, the 'college belle'. They also encounter the handsome and charming Jack Foley, whom Benny quickly falls for. —Anonymous"
5,[ 5  7 13 16],914,Wild Things (1998),"https://m.media-amazon.com/images/M/MV5BODMyYTlkNWYtODAzMC00ZjFiLWE3YjctMGUyMzM1MDk3ZDFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BODMyYTlkNWYtODAzMC00ZjFiLWE3YjctMGUyMzM1MDk3ZDFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY422_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BODMyYTlkNWYtODAzMC00ZjFiLWE3YjctMGUyMzM1MDk3ZDFlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY562_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0120890/?ref_=fn_al_tt_1,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.,6.5,115K,['John McNaughton'],['Stephen Peters'],"['Kevin Bacon', 'Neve Campbell', 'Matt Dillon', 'Denise Richards', 'Theresa Russell', 'Daphne Rubin-Vega', 'Robert Wagner', 'Bill Murray', 'Carrie Snodgress', 'Jeff Perry', 'Cory Pendergast', 'Marc Macaulay', 'Toi Svane Stepp', 'Dennis Neal', 'Diane Adams', 'Paulo Benedeti', 'Eduardo Yáñez', 'Jennifer Taylor']",R,1998.0,1h 48min,15-05-1998,United Kingdom,"Having recently been named educator of the year, Sam Lombardo is the well-liked guidance counselor and sailing instructor at Blue Bay High School on the Florida coast just outside Miami. The student body of the school is largely comprised of the offspring of the country club set, and while he helps any student he can, he especially tries to mentor those who are disadvantaged, such as Jimmy Leach who would not have been able to afford being in the sailing program otherwise, and tough Suzie Toller, a proverbial swamp girl who he's helped through a few scrapes with the law in the absence of any parents, Suzie living with her streetwise grandmother Ruby at an alligator sideshow zoo. Although not socioeconomically part of that country club set himself, he nonetheless has ingratiated himself within it, he having slept with a good number of the country club maidens, he currently settled into a relationship with Barbara Baxter, the well-off daughter of high powered lawyer Tom Baxter. Sam's world comes crashing down around him when student Kelly Van Ryan, who has made it quite clear to her classmates she is sexually attracted to him and who is the daughter of one of his former bed mates, sexually provocative widow and socially powerful Sandra Van Ryan, accuses him of raping her. Already in trouble in that no one can fight and win against the Van Ryans in Blue Bay, Sam, whose career is ruined regardless of his guilt or innocence in never being able to recover from such accusations, gets into even more problems when Suzie quickly thereafter comes forward also accusing him of previously raping her, her story similar to Kelly's. The likelihood of Kelly and Suzie colluding together to manufacture similar stories is remote as it is well known that they have always detested each other. Having now become persona non grata among that country club set, Sam is forced to hire sleazy storefront lawyer Ken Bowden to defend him. Blue Bay Police Detective Ray Duquette of the Sex Crimes Division, he investigating with his partner Gloria Perez, goes against her advice and that of DA Bryce Hunter by delving into sensitive areas in believing that not all associated with the case are as they appear on the surface."
6,[7],1643,Angel Baby (1995),"https://m.media-amazon.com/images/M/MV5BMjAwMDkzNTU5Ml5BMl5BanBnXkFtZTcwMTkzMTMyMQ@@._V1_QL75_UX190_CR0,33,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMjAwMDkzNTU5Ml5BMl5BanBnXkFtZTcwMTkzMTMyMQ@@._V1_QL75_UX285_CR0,50,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMjAwMDkzNTU5Ml5BMl5BanBnXkFtZTcwMTkzMTMyMQ@@._V1_QL75_UX380_CR0,66,380,562_.jpg 380w",http://www.imdb.com/title/tt0112362/?ref_=fn_al_tt_1,Two schizophrenics meet during therapy and fall passionately in love. Ahead of them lies the inevitable road to disaster - one they share to the end.,7.0,1.4K,['Michael Rymer'],['Michael Rymer'],"['John Lynch', 'Jacqueline McKenzie', 'Colin Friels', 'Deborra-Lee Furness', 'Daniel Daperis', 'Robyn Nevin', 'David Argue', 'Geoff Brooks', 'Humphrey Bower', 'Jane Menelaus', 'Alex Pinder', 'Marcus Eyre', 'Heather Bolton', 'Samuel Johnson', 'Lesley Baker', 'Peter Sardi', 'Glynis Angell', 'Sally-Anne Upton']",R,1995.0,1h 45min,02-02-1996,United Kingdom,Two schizophrenics meet during therapy and fall passionately in love. Ahead of them lies the inevitable road to disaster - one they share to the end.
7,[ 0  1 13 15],769,Congo (1995),"https://m.media-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY422_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMmQ2YWFjZGItMTNiZi00ZDFmLWE3ZTAtNTZiZTI5ZjBjYzlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY562_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0112715/?ref_=fn_al_tt_1,"When an expedition to the African Congo ends in disaster, a new team is assembled to find out what went wrong.",5.2,45K,['Frank Marshall'],"['Michael Crichton', 'John Patrick Shanley']","['Laura Linney', 'Tim Curry', 'Dylan Walsh', 'Ernie Hudson', 'Grant Heslov', 'Joe Don Baker', 'Lola Noh', 'Mary Ellen Trainor', 'Misty Rosas', 'Stuart Pankin', 'Carolyn Seymour', 'Romy Rosemont', 'James Karen', 'Bill Pugin', 'Lawrence T. Wrentz', 'Robert Almodovar', 'Kathleen Connors', 'Joel Weiss']",PG-13,1995.0,1h 49min,30-06-1995,United Kingdom,"A megalomaniacal C.E.O. sends his son into the dangerous African Congo on a quest for a source of diamonds large enough and pure enough to function as powerful laser communications transmitters (or is it laser weapons?). When contact is lost with his son and the team, his sometime daughter-in-law is sent after them. She is a former C.I.A. operative and, accompanied by gee-whiz gadgetry and a few eccentric characters (including a mercenary, a researcher with a talking gorilla, and a nutty Indiana-Jones-type looking for King Solomon's Mines), sets out to rescue her former fiancé. What they all discover is that often what we most want turns out to be the source of our downfall. —Tad Dibbern "
8,[ 7 14],1137,Beautiful Thing (1996),"https://m.media-amazon.com/images/M/MV5BYTM4OTllMzYtZmQ0YS00MDU3LTliZDktNjMzYmQ4ZjRjMmFjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,2,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYTM4OTllMzYtZmQ0YS00MDU3LTliZDktNjMzYmQ4ZjRjMmFjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,3,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYTM4OTllMzYtZmQ0YS00MDU3LTliZDktNjMzYmQ4ZjRjMmFjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,4,380,562_.jpg 380w",http://www.imdb.com/title/tt0115640/?ref_=fn_al_tt_1,"Jamie is a shy teenager, often bullied at school. His neighbour Ste has a rough time at home, being beaten by his father and brother. This issues bring them together and they find that what they feel for each other is more than friendship.",7.6,24K,['Hettie Macdonald'],['Jonathan Harvey'],"['Glen Berry', 'Linda Henry', 'Scott Neal', 'Tameka Empson', 'Ben Daniels', 'John Benfield', 'Daniel Bowers', 'Garry Cooper', 'Terry Duggan', 'Jeillo Edwards', 'Andrew Fraser', 'Beth Goddard', 'Davyd Harries', 'Anna Karen', 'Dave Lynn', 'Ozdemir Mamodeally', 'Steven M. Martin', 'Catherine Sanderson']",R,1996.0,1h 30min,21-06-1996,United Kingdom,"A tender love story set during a hot summer on a South-East London housing estate. Jamie, a relatively unpopular lad who bunks off school to avoid football, lives next door to Ste, a more popular athletic lad but who is frequently beaten up by his father and older brother. Such an episode of violence brings Jamie and Ste together: Sandra (Jamie's mum) offers refugee to Ste, who has to 'top-and-tail' with Jamie. Hence, the story tells of their growing attraction for one another, from initial lingering glances to their irrefutable love, which so magnificently illustrated at the end of the film. It deals with the tribulations of coming to terms with their sexuality and of others finding out, in light of Sandra's unwavering loyalty and defence of Jamie and the fear of repercussion should Ste's family find out. The plot is set against sub-texts of Sandra's desire to manage her own pub, and thus escape the estate, and of her new relationship with her hippy boyfriend Tony; and of Leah, the brassy girl next door who has been expelled from school and spends her time listening to Mama Cass records and tripping on a variety of drugs."
9,[4],26,"Brothers McMullen, The (1995)","https://m.media-amazon.com/images/M/MV5BMTQ4NjY1ODc3M15BMl5BanBnXkFtZTcwMjUwODA2NQ@@._V1_QL75_UX140_CR0,12,140,140_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMTQ4NjY1ODc3M15BMl5BanBnXkFtZTcwMjUwODA2NQ@@._V1_QL75_UX210_CR0,18,210,210_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMTQ4NjY1ODc3M15BMl5BanBnXkFtZTcwMjUwODA2NQ@@._V1_QL75_UX280_CR0,24,280,280_.jpg 280w",http://www.imdb.com/title/tt6155832/?ref_=fn_al_tt_1,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",,,"['Roger Ebert', 'Gene Siskel']","['', '']","['Roger Ebert', 'Gene Siskel']",,,,05-08-1995,United States,
