,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length,release_date_x,country_x,release_date_y,country_y,storyline
0,[0],779,Drop Zone (1994),"https://m.media-amazon.com/images/M/MV5BNGUyMWNjNGYtZmNhNS00MGQxLTlmYmMtNDE0NDhhNDk3ZTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNGUyMWNjNGYtZmNhNS00MGQxLTlmYmMtNDE0NDhhNDk3ZTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNGUyMWNjNGYtZmNhNS00MGQxLTlmYmMtNDE0NDhhNDk3ZTgxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0109676/?ref_=fn_al_tt_1,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,5.6,20K,['John Badham'],"['Tony Griffin', 'Guy Manos', 'Peter Barsocchini']","['Wesley Snipes', 'Gary Busey', 'Yancy Butler', 'Michael Jeter', 'Corin Nemec', 'Kyle Secor', 'Luca Bercovici', 'Malcolm-Jamal Warner', 'Rex Linn', 'Grace Zabriskie', 'Robert LaSardo', 'Sam Hennings', 'Claire Stansfield', 'Mickey Jones', 'Andy Romano', 'Rick Zieff', 'Clark Johnson', 'Charles Boswell']",R,1994,1h 41min,24-03-1995,United Kingdom,24-03-1995,United Kingdom,A team of skydiving crooks led by DEA-agent-turned-bad Busey specialize in landing on police roofs and breaking in so their evil computer nerd can steal undercover agents' files and sell them to drug lords. Federal Marshal Snipes lost a brother to this crew and learns skydiving with the help of tough-but-lovable instructor Butler so he can track them down. DIE HARD meets PASSENGER 57 meets CLIFFHANGER. —Tom Neff 
1,[10 15],84,Robert A. Heinlein's The Puppet Masters (1994),"https://m.media-amazon.com/images/M/MV5BNDcyMGRmMTMtZDhiYy00YmM4LTkwNDQtM2FlOGViYTgwZmRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNDcyMGRmMTMtZDhiYy00YmM4LTkwNDQtM2FlOGViYTgwZmRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNDcyMGRmMTMtZDhiYy00YmM4LTkwNDQtM2FlOGViYTgwZmRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,2,380,562_.jpg 380w",http://www.imdb.com/title/tt0111003/?ref_=fn_al_tt_1,"The Earth is invaded by stingray-shaped alien ""slugs"" that ride on people's backs and control their minds.",5.9,8.8K,['Stuart Orme'],"['Robert A. Heinlein', 'Ted Elliott', 'Terry Rossio']","['Donald Sutherland', 'Eric Thal', 'Julie Warner', 'Keith David', 'Will Patton', 'Richard Belzer', 'Tom Mason', 'Yaphet Kotto', 'Gerry Bamman', 'Sam Anderson', 'J. Patrick McCormack', 'Marshall Bell', 'Nicholas Cascone', 'Bruce Jarchow', 'Benjamin Mouton', 'David Pasquesi', 'Andrew Robinson', 'Benj Thall']",R,1994,1h 49min,21-10-1994,United States,21-10-1994,United States,"Strange aliens land in the Midwest, taking over people's minds in order to spread their dominion. Sam Nivens and Andrew Nivens, aided by Mary Sefton, are part of a government agency who must stop the the aliens before the aliens get to them... —Steve Fenwick "
2,[7],1401,M. Butterfly (1993),"https://m.media-amazon.com/images/M/MV5BODhhMGEwOGEtNDJjMi00OWQ1LThlZjItNTk3Y2IzZThlNjdkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX190_CR0,2,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BODhhMGEwOGEtNDJjMi00OWQ1LThlZjItNTk3Y2IzZThlNjdkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX285_CR0,3,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BODhhMGEwOGEtNDJjMi00OWQ1LThlZjItNTk3Y2IzZThlNjdkXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_QL75_UX380_CR0,4,380,562_.jpg 380w",http://www.imdb.com/title/tt0107468/?ref_=fn_al_tt_1,"In 1960s China, French diplomat Rene Gallimard falls in love with an opera singer, Song Liling - but Song is not at all who Gallimard thinks.",6.8,9.3K,['David Cronenberg'],['David Henry Hwang'],"['Jeremy Irons', 'John Lone', 'Barbara Sukowa', 'Ian Richardson', 'Annabel Leventon', 'Shizuko Hoshi', 'Richard McMillan', 'Vernon Dobtcheff', 'David Hemblen', 'Damir Andrei', 'Antony Parr', 'Margaret Ma', 'Tristram Jellinek', 'Philip McGough', 'David Neal', 'Sean Hewitt', 'Peter Messaline', 'Michael Mehlmann']",R,1993,1h 41min,06-05-1994,United Kingdom,06-05-1994,United Kingdom,"During the Cultural Revolution in China in the mid-1960s, a French diplomat falls in love with a singer in the Beijing Opera. Interwoven with allusions to the Puccini opera ""Madama Butterfly"", a story of love and betrayal unfolds. —Michael C. Berch "
3,[0],1087,Bloodsport 2 (1995),"https://m.media-amazon.com/images/M/MV5BMTQ2Mzc4NzQxN15BMl5BanBnXkFtZTcwMDcxNjYyMQ@@._V1_QL75_UY281_CR46,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTQ2Mzc4NzQxN15BMl5BanBnXkFtZTcwMDcxNjYyMQ@@._V1_QL75_UY422_CR68,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTQ2Mzc4NzQxN15BMl5BanBnXkFtZTcwMDcxNjYyMQ@@._V1_QL75_UY562_CR91,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0112536/?ref_=fn_al_tt_1,Alex Cardo is imprisoned and disciplined by one of the inmates. His new master also tells him about the brutal yet illegal Kumite tournament - but how will they get there?,4.8,3K,"['Alan Mehrez', 'Philip Tan']",['Jeff Schechter'],"['Daniel Bernhardt', 'James Hong', 'Pat Morita', 'Donald Gibb', 'Lori Lynn Dickerson', 'Philip Tan', 'Ong Soo Han', 'Nicholas Hill', 'Ron Hall', 'Master Hee Il Cho', 'Lisa McCullough', 'Chuay', 'Steve Martinez', 'Jeff Wolfe', 'Cliff Bernhardt', 'Nils Allen Stewart', 'Eric Lee', 'Chad Stahelski']",R,1996,1h 30min,01-03-1996,United States,01-03-1996,United States,"After thief Alex Cardo gets caught while stealing an ancient katana in East Asia, he soon finds himself imprisoned and beaten up by the crowd there. Especially one of the guards, Demien, feels upset by Alex appearance and tortures him as often as he gets the opportunity. Alex finds one friend and mentor in the jailhouse, Master Sun, who teaches him a superior fighting style called Iron Hand. When a 'best of the best kumite' is to take place, Demien gets an invitation. Now Master Sun and Alex need to find a way to let Alex take part in the kumite too. —Oliver Heidelbach"
4,[7],1391,For Ever Mozart (1996),"https://m.media-amazon.com/images/M/MV5BOGYwNzBiMTUtMjcwMS00ZjJlLWIzNTAtODZjMDNlN2M4ZmQ2XkEyXkFqcGdeQXVyNjIzODMzMDU@._V1_QL75_UY281_CR9,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BOGYwNzBiMTUtMjcwMS00ZjJlLWIzNTAtODZjMDNlN2M4ZmQ2XkEyXkFqcGdeQXVyNjIzODMzMDU@._V1_QL75_UY422_CR13,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BOGYwNzBiMTUtMjcwMS00ZjJlLWIzNTAtODZjMDNlN2M4ZmQ2XkEyXkFqcGdeQXVyNjIzODMzMDU@._V1_QL75_UY562_CR18,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0116334/?ref_=fn_al_tt_1,"Jean-Luc Godard's densely packed rumination on the need to create order and beauty in a world ruled by chaos is divided into four distinct but tangentially related stories, including the attempts by a young group of idealists to stage a play in war-torn Sarajevo and an elderly director's efforts to complete his film.",6.3,1K,['Jean-Luc Godard'],['Jean-Luc Godard'],"['Madeleine Assas', 'Ghalya Lacroix', 'Bérangère Allaux', 'Vicky Messica', 'Frédéric Pierrot', 'Harry Cleven', 'Michel Francini', 'Sabine Bail', 'Max André', 'Sylvie Herbert', 'Cécile Reigher', 'Dominique Pozzetto', 'Valérie Delangre', 'Xavier Boulanger', 'Yasna Zivanovic', 'Nathalie Dorval', 'Daniel Krellenstein', 'Jean Grécault']",Not Rated,1996,1h 24min,27-11-1996,France,27-11-1996,France,"Jean-Luc Godard's densely packed rumination on the need to create order and beauty in a world ruled by chaos is divided into four distinct but tangentially related stories, including the attempts by a young group of idealists to stage a play in war-torn Sarajevo and an elderly director's efforts to complete his film. —Anonymous"
5,[4 7],1044,"Paper, The (1994)","https://m.media-amazon.com/images/M/MV5BYWJiZDAyMGYtMTJiOS00NWY2LTgzZjMtNzAyZTZlMzVlZWVmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYWJiZDAyMGYtMTJiOS00NWY2LTgzZjMtNzAyZTZlMzVlZWVmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX285_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYWJiZDAyMGYtMTJiOS00NWY2LTgzZjMtNzAyZTZlMzVlZWVmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX380_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0110771/?ref_=fn_al_tt_1,"New York City tabloid editor Henry's faced with tough decisions while he faces several serious life challenges, and a tempting job offer.",6.7,14K,['Ron Howard'],"['David Koepp', 'Stephen Koepp']","['Michael Keaton', 'Glenn Close', 'Robert Duvall', 'Marisa Tomei', 'Randy Quaid', 'Jason Robards', 'Jason Alexander', 'Spalding Gray', ""Catherine O'Hara"", 'Lynne Thigpen', 'Jack Kehoe', 'Roma Maffia', 'Clint Howard', 'Geoffrey Owens', 'Amelia Campbell', 'Jill Hennessy', 'William Prince', 'Augusta Dabney']",R,1994,1h 52min,06-05-1994,United Kingdom,06-05-1994,United Kingdom,"Henry Hackett is the metro editor of a New York City tabloid. He is a workaholic who loves his job, but the long hours and low pay are leading to discontent. Also, publisher Graham Keeley faces financial straits, and has Managing Editor Alicia Clark, Henry's nemesis, impose unpopular cutbacks. Henry's wife Martha, a hugely pregnant former reporter of his, is fed up because he has so little time for his family. He is therefore considering an offer from Paul Bladden to edit a paper like the New York Times, which would mean more money, shorter hours, more respectability...but might also be a bit boring for his tastes. But a hot story soon confronts Henry with tough decisions. —Reid Gagle"
6,[4 7],1061,"Evening Star, The (1996)","https://m.media-amazon.com/images/M/MV5BNzBiNmFiYmQtZDRiYS00NWRhLWIwZDUtYWFiYmQzY2RkNDYyXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNzBiNmFiYmQtZDRiYS00NWRhLWIwZDUtYWFiYmQzY2RkNDYyXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNzBiNmFiYmQtZDRiYS00NWRhLWIwZDUtYWFiYmQzY2RkNDYyXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0116240/?ref_=fn_al_tt_1,"Continuing the story of Aurora Greenway in her latter years. After the death of her daughter, Aurora struggled to keep her family together, but has one grandson in jail, a rebellious granddaughter, and another grandson living just above the poverty line.",5.9,4.6K,['Robert Harling'],"['Larry McMurtry', 'Robert Harling']","['Shirley MacLaine', 'Bill Paxton', 'Juliette Lewis', 'Miranda Richardson', 'Ben Johnson', 'Scott Wolf', 'George Newbern', 'Marion Ross', 'Mackenzie Astin', 'Donald Moffat', 'Jennifer Grant', 'China Kantner', 'Jack Nicholson', 'Shawn Taylor Thompson', 'Jake Langerud', 'Sharon Bunn', 'Clement von Franckenstein', 'Antonia Bogdanovich']",PG-13,1996,2h 9min,14-03-1997,United Kingdom,14-03-1997,United Kingdom,"Continuing the story of Aurora Greenway in her latter years. After the death of her daughter, Aurora struggled to keep her family together, but has one grandson in jail, a rebellious granddaughter, and another grandson living just above the poverty line. —R. John Berggren "
7,[0],1358,The Deadly Cure (1996),"https://m.media-amazon.com/images/M/MV5BZTcwZjZlNmUtZTBiNC00NTRhLTkyZDctMGQyM2Y4NjM1YjM5XkEyXkFqcGdeQXVyNDM1MzYzMzc@._V1_QL75_UY281_CR91,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZTcwZjZlNmUtZTBiNC00NTRhLTkyZDctMGQyM2Y4NjM1YjM5XkEyXkFqcGdeQXVyNDM1MzYzMzc@._V1_QL75_UY422_CR135,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZTcwZjZlNmUtZTBiNC00NTRhLTkyZDctMGQyM2Y4NjM1YjM5XkEyXkFqcGdeQXVyNDM1MzYzMzc@._V1_QL75_UY562_CR181,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0645145/?ref_=fn_al_tt_1,"After being shot while on a stakeout, Mac witnesses a murder in the hospital while partially under sedation while awaiting surgery. Everyone thinks Mac's story is a hallucination, but he's convinced one of the doctors murdered a patient.",7.7,65,['James Sheldon'],"['Leonard Stern', 'Richard Danus']","['Rock Hudson', 'Susan Saint James', 'John Schuck', 'Nancy Walker', 'Dick Sargent', 'Lola Albright', 'Macdonald Carey', 'Michael Constantine', 'Michael Tolan', 'Liam Dunn', 'Barbara Bosson', 'Hal England', 'Michael Vandever', 'Frank Maxwell', 'Nate Esformes', 'Paul Comi', 'Fred Karger', 'Rick Podell']",TV-PG,"Episode aired Jan 18, 1976",1h 15min,18-01-1976,United States,18-01-1976,United States,"Mac and crew receive a cryptic note from undercover officer, Trigamundo, during an investigation into the state's largest drug ring. At a stakeout of the Embarcadero Hotel, where a large drug buy is supposed to take place, Shields shoots Mac; Shields is taken into custody. But, their real target the top man, a.k.a. The Possum, is ""tipped off"" not to appear for the buy so he eludes capture. At the hospital, a wounded Mac is lying on a guerney in a corridor, heavily sedated and awaiting surgery, when Mac hears cries coming from a nearby room. Mac staggers towards the cries and sees two masked orderlies smothering a man with a pillow. Mac tries to stop them, but he is groggy and has lost a lot of blood. When Mac awakens from surgery, there are no dead bodies which support his hazy memories. Hospital personnel try to convince him and Sally that he dreamt or hallucinated the entire incident. But did he? Mac stubbornly leaves the hospital and he and Enright continue investigating. A fresh look at Trigamundo's note puts a whole new light on the case... but only if Mac can stay alive long enough to solve it."
8,[ 0 15 16],145,"Lawnmower Man, The (1992)","https://m.media-amazon.com/images/M/MV5BYWZhODdkMTEtMzBmNy00NzU5LWIzYjMtYTkwNWE3YTRjOTZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,7,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYWZhODdkMTEtMzBmNy00NzU5LWIzYjMtYTkwNWE3YTRjOTZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,12,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYWZhODdkMTEtMzBmNy00NzU5LWIzYjMtYTkwNWE3YTRjOTZkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,15,380,562_.jpg 380w",http://www.imdb.com/title/tt0104692/?ref_=fn_al_tt_1,A simple man is turned into a genius through the application of computer science.,5.4,35K,['Brett Leonard'],"['Stephen King', 'Brett Leonard', 'Gimel Everett']","['Jeff Fahey', 'Pierce Brosnan', 'Jenny Wright', 'Mark Bringelson', 'Geoffrey Lewis', 'Jeremy Slate', 'Dean Norris', 'Colleen Coffey', 'Jim Landis', 'Troy Evans', 'Rosalee Mayeux', ""Austin O'Brien"", 'Michael Gregory', 'Joe Hart', 'John Laughlin', 'Ray Lykins', 'Michael Valverde', 'Dale Raoul']",R,1992,1h 48min,05-06-1992,United Kingdom,05-06-1992,United Kingdom,"A scientist performs experiments involving intelligence enhancing drugs and virtual reality on a simple-minded gardener. He puts the gardener on an extensive schedule of learning, and quickly he becomes brilliant. But at this point the gardener has a few ideas of his own on how the research should continue, and the scientist begins losing control of his experiments. —Ed Sutton "
9,[7],1332,My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),"https://m.media-amazon.com/images/M/MV5BMTM2MjE5MTQ5MF5BMl5BanBnXkFtZTcwOTMzNzcyMQ@@._V1_QL75_UX190_CR0,33,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTM2MjE5MTQ5MF5BMl5BanBnXkFtZTcwOTMzNzcyMQ@@._V1_QL75_UX285_CR0,50,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTM2MjE5MTQ5MF5BMl5BanBnXkFtZTcwOTMzNzcyMQ@@._V1_QL75_UX380_CR0,66,380,562_.jpg 380w",http://www.imdb.com/title/tt0106810/?ref_=fn_al_tt_1,"May, 1946, in Paris young poet Jacques Prevel meets Antonin Artaud, the actor, artist and writer just released from a mental asylum. Over ten months, we follow the mad Artaud from his cruel coaching of an actress in his ""theatre of cruelty"" to his semi-friendship with Prevel who buys him drugs and hangs on his every word. Meanwhile, Prevel divides his time between Jany, his blond, young, drug-hazed mistress and Rolande, his dark-haired, long-suffering wife, who has a child during this time. Cruelty, neglect, poverty, egoism, madness and the pursuit of art mix on the Left Bank.",7.0,152,['Gérard Mordillat'],"['Gérard Mordillat', 'Jacques Prevel', 'Jérôme Prieur']","['Sami Frey', 'Marc Barbé', 'Julie Jézéquel', 'Valérie Jeannet', 'Clotilde de Bayser', 'Charlotte Valandrey', 'Anne Barbe', 'Philippe Baille', 'Philippe Beaufort', 'Alain Boissard', 'Jean-Marcel Bouguereau', 'Renee Cariven', 'Catherine Carrée', 'Jean-Yves Carrée', 'Jean-Marie Catonne', 'Véronique K. Colucci', 'Dan Franck', 'Simon Franck']",Unrated,1993,1h 30min,31-05-1996,United Kingdom,31-05-1996,United Kingdom,"May, 1946, in Paris young poet Jacques Prevel meets Antonin Artaud, the actor, artist and writer just released from a mental asylum. Over ten months, we follow the mad Artaud from his cruel coaching of an actress in his ""theatre of cruelty"" to his semi-friendship with Prevel who buys him drugs and hangs on his every word. Meanwhile, Prevel divides his time between Jany, his blond, young, drug-hazed mistress and Rolande, his dark-haired, long-suffering wife, who has a child during this time. Cruelty, neglect, poverty, egoism, madness and the pursuit of art mix on the Left Bank. —"
